A,B,V
102,168,1.0
102,248,1.0
102,251,1.0
102,252,1.0
102,257,1.0
102,258,1.0
102,300,1.0
102,326,1.0
102,330,1.0
102,351,1.0
102,389,1.0
102,429,1.0
102,446,1.0
102,484,1.0
102,485,1.0
102,506,1.0
102,536,1.0
103,103,1.0
104,54,1.0
104,104,1.0
105,105,1.0
106,106,1.0
107,53,1.0
107,107,1.0
108,108,1.0
109,32,1.0
109,109,1.0
110,110,1.0
110,112,1.0
110,116,1.0
110,118,1.0
110,122,1.0
110,125,1.0
110,135,1.0
110,149,1.0
110,152,1.0
110,161,1.0
110,168,1.0
110,188,1.0
110,197,1.0
110,207,1.0
110,215,1.0
110,226,1.0
110,229,1.0
110,237,1.0
110,245,1.0
110,248,1.0
110,250,1.0
110,251,1.0
110,252,1.0
110,257,1.0
110,258,1.0
110,268,1.0
110,295,1.0
110,299,1.0
110,300,1.0
110,319,1.0
110,326,1.0
110,329,1.0
110,330,1.0
110,338,1.0
110,351,1.0
110,355,1.0
110,362,1.0
110,389,1.0
110,393,1.0
110,405,1.0
110,429,1.0
110,446,1.0
110,469,1.0
110,479,1.0
110,484,1.0
110,485,1.0
110,498,1.0
110,506,1.0
110,510,1.0
110,527,1.0
110,529,1.0
110,536,1.0
111,111,1.0
111,213,1.0
111,362,1.0
111,379,1.0
111,428,1.0
111,445,1.0
111,459,1.0
111,491,1.0
111,509,1.0
112,102,1.0
112,110,1.0
112,112,1.0
113,113,1.0
113,251,1.0
113,422,1.0
113,536,1.0
114,114,1.0
115,115,1.0
116,20,1.0
116,110,1.0
116,116,1.0
117,53,1.0
117,117,1.0
118,110,1.0
118,118,1.0
119,119,1.0
119,351,1.0
120,120,1.0
121,121,1.0
122,32,1.0
122,102,1.0
122,110,1.0
122,122,1.0
123,123,1.0
124,53,1.0
124,124,1.0
125,110,1.0
125,125,1.0
126,126,1.0
126,136,1.0
126,398,1.0
126,430,1.0
126,512,1.0
126,533,1.0
127,127,1.0
127,528,1.0
128,128,1.0
129,129,1.0
130,130,1.0
131,131,1.0
132,132,1.0
133,133,1.0
133,205,1.0
133,348,1.0
134,134,1.0
135,110,1.0
135,135,1.0
135,226,1.0
135,299,1.0
135,510,1.0
136,126,1.0
136,136,1.0
137,137,1.0
137,196,1.0
137,206,1.0
137,218,1.0
137,425,1.0
137,470,1.0
137,481,1.0
137,489,1.0
138,138,1.0
138,349,1.0
139,139,1.0
140,140,1.0
141,141,1.0
141,146,1.0
141,179,1.0
141,514,1.0
141,528,1.0
142,142,1.0
143,143,1.0
144,144,1.0
144,157,1.0
144,181,1.0
144,287,1.0
144,333,1.0
144,334,1.0
144,381,1.0
144,396,1.0
144,406,1.0
144,423,1.0
144,425,1.0
144,447,1.0
144,451,1.0
144,454,1.0
144,488,1.0
145,145,1.0
146,141,1.0
146,146,1.0
147,147,1.0
147,322,1.0
148,148,1.0
149,97,1.0
149,110,1.0
149,149,1.0
150,54,1.0
150,150,1.0
151,151,1.0
152,84,1.0
152,102,1.0
152,110,1.0
152,152,1.0
153,153,1.0
154,82,1.0
154,154,1.0
155,16,1.0
155,155,1.0
156,156,1.0
157,144,1.0
157,157,1.0
158,158,1.0
158,263,1.0
158,359,1.0
158,394,1.0
158,413,1.0
158,454,1.0
158,458,1.0
159,159,1.0
160,54,1.0
160,160,1.0
161,102,1.0
161,110,1.0
161,161,1.0
162,32,1.0
162,162,1.0
163,163,1.0
164,164,1.0
165,53,1.0
165,165,1.0
166,166,1.0
166,238,1.0
167,30,1.0
167,167,1.0
168,32,1.0
168,102,1.0
168,110,1.0
168,168,1.0
169,32,1.0
169,169,1.0
170,170,1.0
171,171,1.0
171,212,1.0
171,262,1.0
171,271,1.0
171,368,1.0
171,436,1.0
171,450,1.0
172,172,1.0
173,173,1.0
174,174,1.0
175,175,1.0
176,176,1.0
177,177,1.0
178,178,1.0
179,141,1.0
179,179,1.0
179,514,1.0
179,528,1.0
180,180,1.0
181,144,1.0
181,181,1.0
182,34,1.0
182,182,1.0
183,82,1.0
183,183,1.0
184,184,1.0
184,196,1.0
184,211,1.0
184,280,1.0
184,470,1.0
184,481,1.0
185,185,1.0
185,272,1.0
185,320,1.0
185,349,1.0
185,415,1.0
185,428,1.0
185,441,1.0
185,445,1.0
185,455,1.0
185,472,1.0
185,480,1.0
185,482,1.0
185,498,1.0
185,509,1.0
185,515,1.0
185,530,1.0
186,186,1.0
187,187,1.0
188,110,1.0
188,188,1.0
189,189,1.0
190,190,1.0
190,333,1.0
190,390,1.0
190,396,1.0
190,423,1.0
190,470,1.0
190,516,1.0
191,30,1.0
191,191,1.0
192,192,1.0
193,16,1.0
193,193,1.0
194,194,1.0
195,195,1.0
195,362,1.0
196,137,1.0
196,184,1.0
196,196,1.0
197,110,1.0
197,197,1.0
198,198,1.0
199,199,1.0
200,200,1.0
200,296,1.0
200,544,1.0
201,201,1.0
202,94,1.0
202,202,1.0
203,203,1.0
204,32,1.0
204,82,1.0
204,204,1.0
205,133,1.0
205,205,1.0
206,137,1.0
206,206,1.0
207,97,1.0
207,110,1.0
207,207,1.0
208,208,1.0
208,212,1.0
208,213,1.0
208,215,1.0
208,216,1.0
208,234,1.0
208,237,1.0
208,240,1.0
208,255,1.0
208,262,1.0
208,265,1.0
208,271,1.0
208,275,1.0
208,279,1.0
208,301,1.0
208,310,1.0
208,319,1.0
208,323,1.0
208,336,1.0
208,362,1.0
208,368,1.0
208,374,1.0
208,378,1.0
208,399,1.0
208,416,1.0
208,436,1.0
208,450,1.0
208,459,1.0
208,483,1.0
208,486,1.0
208,498,1.0
208,534,1.0
208,541,1.0
209,209,1.0
210,210,1.0
210,215,1.0
210,389,1.0
210,459,1.0
211,32,1.0
211,184,1.0
211,211,1.0
212,5,1.0
212,39,1.0
212,171,1.0
212,208,1.0
212,212,1.0
213,111,1.0
213,208,1.0
213,213,1.0
214,214,1.0
215,110,1.0
215,208,1.0
215,210,1.0
215,215,1.0
216,208,1.0
216,216,1.0
216,262,1.0
217,217,1.0
218,32,1.0
218,137,1.0
218,218,1.0
219,219,1.0
220,220,1.0
221,221,1.0
222,222,1.0
223,223,1.0
224,224,1.0
225,225,1.0
226,110,1.0
226,135,1.0
226,226,1.0
227,227,1.0
228,228,1.0
229,110,1.0
229,229,1.0
229,251,1.0
230,230,1.0
231,32,1.0
231,231,1.0
232,32,1.0
232,232,1.0
233,32,1.0
233,233,1.0
234,208,1.0
234,234,1.0
234,237,1.0
234,240,1.0
234,255,1.0
234,262,1.0
234,265,1.0
234,271,1.0
234,275,1.0
234,279,1.0
234,301,1.0
234,310,1.0
234,319,1.0
234,323,1.0
234,336,1.0
234,362,1.0
234,368,1.0
234,374,1.0
234,378,1.0
234,399,1.0
234,416,1.0
234,436,1.0
234,450,1.0
234,459,1.0
234,483,1.0
234,486,1.0
234,498,1.0
234,534,1.0
234,541,1.0
235,235,1.0
236,236,1.0
237,110,1.0
237,208,1.0
237,234,1.0
237,237,1.0
238,166,1.0
238,238,1.0
239,239,1.0
239,252,1.0
239,258,1.0
239,262,1.0
239,351,1.0
239,368,1.0
239,375,1.0
240,208,1.0
240,234,1.0
240,240,1.0
240,262,1.0
240,265,1.0
240,336,1.0
240,362,1.0
240,368,1.0
240,374,1.0
240,450,1.0
240,483,1.0
240,486,1.0
241,241,1.0
242,242,1.0
243,243,1.0
243,333,1.0
244,32,1.0
244,244,1.0
245,110,1.0
245,245,1.0
246,36,1.0
246,246,1.0
247,247,1.0
248,102,1.0
248,110,1.0
248,248,1.0
249,249,1.0
250,110,1.0
250,250,1.0
251,102,1.0
251,110,1.0
251,113,1.0
251,229,1.0
251,251,1.0
252,102,1.0
252,110,1.0
252,239,1.0
252,252,1.0
252,351,1.0
253,253,1.0
254,254,1.0
254,385,1.0
254,388,1.0
254,408,1.0
254,461,1.0
254,470,1.0
255,32,1.0
255,208,1.0
255,234,1.0
255,255,1.0
256,256,1.0
257,102,1.0
257,110,1.0
257,257,1.0
258,97,1.0
258,102,1.0
258,110,1.0
258,239,1.0
258,258,1.0
259,259,1.0
259,354,1.0
260,260,1.0
260,377,1.0
261,261,1.0
262,97,1.0
262,171,1.0
262,208,1.0
262,216,1.0
262,234,1.0
262,239,1.0
262,240,1.0
262,262,1.0
263,158,1.0
263,263,1.0
264,264,1.0
265,208,1.0
265,234,1.0
265,240,1.0
265,265,1.0
266,82,1.0
266,266,1.0
267,267,1.0
267,286,1.0
267,364,1.0
267,545,1.0
268,110,1.0
268,268,1.0
269,32,1.0
269,269,1.0
270,270,1.0
271,171,1.0
271,208,1.0
271,234,1.0
271,271,1.0
272,185,1.0
272,272,1.0
273,273,1.0
273,277,1.0
273,280,1.0
273,283,1.0
273,322,1.0
273,358,1.0
273,385,1.0
273,388,1.0
273,425,1.0
273,453,1.0
273,460,1.0
273,461,1.0
273,470,1.0
273,481,1.0
273,489,1.0
273,493,1.0
273,547,1.0
274,274,1.0
275,208,1.0
275,234,1.0
275,275,1.0
276,276,1.0
276,351,1.0
277,273,1.0
277,277,1.0
278,278,1.0
279,208,1.0
279,234,1.0
279,279,1.0
280,32,1.0
280,184,1.0
280,273,1.0
280,280,1.0
281,281,1.0
282,282,1.0
283,273,1.0
283,283,1.0
283,322,1.0
283,358,1.0
283,385,1.0
283,388,1.0
283,425,1.0
283,453,1.0
283,460,1.0
283,461,1.0
283,470,1.0
283,481,1.0
283,489,1.0
283,493,1.0
283,547,1.0
284,284,1.0
284,330,1.0
284,418,1.0
284,429,1.0
284,513,1.0
284,540,1.0
285,32,1.0
285,285,1.0
286,267,1.0
286,286,1.0
287,144,1.0
287,287,1.0
288,288,1.0
289,289,1.0
290,290,1.0
291,291,1.0
292,292,1.0
292,442,1.0
293,293,1.0
293,300,1.0
293,485,1.0
294,67,1.0
294,294,1.0
295,110,1.0
295,295,1.0
296,200,1.0
296,296,1.0
297,297,1.0
298,298,1.0
299,110,1.0
299,135,1.0
299,299,1.0
299,510,1.0
300,102,1.0
300,110,1.0
300,293,1.0
300,300,1.0
301,32,1.0
301,208,1.0
301,234,1.0
301,301,1.0
302,302,1.0
303,303,1.0
304,304,1.0
305,305,1.0
305,351,1.0
305,426,1.0
305,450,1.0
305,467,1.0
306,306,1.0
306,398,1.0
306,412,1.0
306,428,1.0
306,430,1.0
306,444,1.0
306,512,1.0
306,525,1.0
306,533,1.0
307,307,1.0
308,308,1.0
309,309,1.0
310,208,1.0
310,234,1.0
310,310,1.0
311,311,1.0
312,312,1.0
313,5,1.0
313,39,1.0
313,313,1.0
313,442,1.0
314,314,1.0
314,351,1.0
314,368,1.0
314,426,1.0
314,450,1.0
314,458,1.0
314,479,1.0
314,496,1.0
314,511,1.0
315,315,1.0
315,327,1.0
315,332,1.0
315,424,1.0
315,524,1.0
316,316,1.0
316,320,1.0
316,324,1.0
316,347,1.0
316,349,1.0
316,353,1.0
316,368,1.0
316,378,1.0
316,384,1.0
316,391,1.0
316,400,1.0
316,402,1.0
316,415,1.0
316,421,1.0
316,428,1.0
316,441,1.0
316,442,1.0
316,443,1.0
316,445,1.0
316,454,1.0
316,455,1.0
316,459,1.0
316,468,1.0
316,472,1.0
316,474,1.0
316,480,1.0
316,481,1.0
316,482,1.0
316,494,1.0
316,498,1.0
316,509,1.0
316,515,1.0
316,523,1.0
316,525,1.0
316,530,1.0
316,539,1.0
317,317,1.0
318,54,1.0
318,318,1.0
319,110,1.0
319,208,1.0
319,234,1.0
319,319,1.0
320,185,1.0
320,316,1.0
320,320,1.0
321,321,1.0
322,147,1.0
322,273,1.0
322,283,1.0
322,322,1.0
323,208,1.0
323,234,1.0
323,323,1.0
324,316,1.0
324,324,1.0
325,325,1.0
326,102,1.0
326,110,1.0
326,326,1.0
327,82,1.0
327,315,1.0
327,327,1.0
328,328,1.0
329,110,1.0
329,329,1.0
330,102,1.0
330,110,1.0
330,284,1.0
330,330,1.0
331,331,1.0
332,315,1.0
332,332,1.0
333,144,1.0
333,190,1.0
333,243,1.0
333,333,1.0
334,144,1.0
334,334,1.0
334,381,1.0
334,396,1.0
334,406,1.0
334,423,1.0
334,425,1.0
334,447,1.0
334,451,1.0
334,454,1.0
334,488,1.0
335,335,1.0
336,208,1.0
336,234,1.0
336,240,1.0
336,336,1.0
336,362,1.0
337,337,1.0
337,353,1.0
337,369,1.0
337,388,1.0
337,391,1.0
337,404,1.0
337,420,1.0
337,432,1.0
337,438,1.0
337,461,1.0
337,481,1.0
337,483,1.0
337,523,1.0
337,535,1.0
338,110,1.0
338,338,1.0
339,339,1.0
339,351,1.0
339,368,1.0
339,375,1.0
339,436,1.0
339,450,1.0
340,340,1.0
340,351,1.0
341,341,1.0
342,342,1.0
343,32,1.0
343,343,1.0
344,344,1.0
345,345,1.0
345,348,1.0
345,350,1.0
345,351,1.0
345,355,1.0
345,356,1.0
345,357,1.0
345,360,1.0
345,373,1.0
345,402,1.0
345,414,1.0
345,417,1.0
345,424,1.0
345,447,1.0
345,452,1.0
345,459,1.0
345,466,1.0
345,482,1.0
345,487,1.0
345,496,1.0
345,502,1.0
345,508,1.0
345,514,1.0
345,522,1.0
345,524,1.0
345,528,1.0
345,531,1.0
345,535,1.0
345,547,1.0
346,346,1.0
347,54,1.0
347,316,1.0
347,347,1.0
348,133,1.0
348,345,1.0
348,348,1.0
349,138,1.0
349,185,1.0
349,316,1.0
349,349,1.0
350,345,1.0
350,350,1.0
351,102,1.0
351,110,1.0
351,119,1.0
351,239,1.0
351,252,1.0
351,276,1.0
351,305,1.0
351,314,1.0
351,339,1.0
351,340,1.0
351,345,1.0
351,351,1.0
352,352,1.0
353,316,1.0
353,337,1.0
353,353,1.0
354,259,1.0
354,354,1.0
355,110,1.0
355,345,1.0
355,355,1.0
356,345,1.0
356,356,1.0
357,345,1.0
357,357,1.0
358,273,1.0
358,283,1.0
358,358,1.0
359,158,1.0
359,359,1.0
360,345,1.0
360,360,1.0
361,54,1.0
361,361,1.0
362,110,1.0
362,111,1.0
362,195,1.0
362,208,1.0
362,234,1.0
362,240,1.0
362,336,1.0
362,362,1.0
363,363,1.0
364,267,1.0
364,364,1.0
365,365,1.0
366,61,1.0
366,366,1.0
367,367,1.0
368,97,1.0
368,171,1.0
368,208,1.0
368,234,1.0
368,239,1.0
368,240,1.0
368,314,1.0
368,316,1.0
368,339,1.0
368,368,1.0
369,337,1.0
369,369,1.0
369,388,1.0
369,391,1.0
369,404,1.0
369,420,1.0
369,432,1.0
369,438,1.0
369,461,1.0
369,481,1.0
369,483,1.0
369,523,1.0
369,535,1.0
370,370,1.0
371,371,1.0
372,372,1.0
372,460,1.0
372,461,1.0
373,345,1.0
373,373,1.0
374,32,1.0
374,208,1.0
374,234,1.0
374,240,1.0
374,374,1.0
375,239,1.0
375,339,1.0
375,375,1.0
376,376,1.0
377,260,1.0
377,377,1.0
378,5,1.0
378,32,1.0
378,39,1.0
378,208,1.0
378,234,1.0
378,316,1.0
378,378,1.0
379,111,1.0
379,379,1.0
380,5,1.0
380,39,1.0
380,380,1.0
380,442,1.0
380,474,1.0
380,534,1.0
381,144,1.0
381,334,1.0
381,381,1.0
382,382,1.0
383,383,1.0
384,316,1.0
384,384,1.0
384,445,1.0
384,480,1.0
384,530,1.0
385,61,1.0
385,254,1.0
385,273,1.0
385,283,1.0
385,385,1.0
386,386,1.0
387,20,1.0
387,387,1.0
388,61,1.0
388,254,1.0
388,273,1.0
388,283,1.0
388,337,1.0
388,369,1.0
388,388,1.0
389,102,1.0
389,110,1.0
389,210,1.0
389,389,1.0
390,190,1.0
390,390,1.0
391,316,1.0
391,337,1.0
391,369,1.0
391,391,1.0
392,392,1.0
392,398,1.0
392,412,1.0
392,428,1.0
392,430,1.0
392,444,1.0
392,509,1.0
392,512,1.0
392,515,1.0
392,525,1.0
392,533,1.0
393,110,1.0
393,393,1.0
393,405,1.0
393,429,1.0
393,446,1.0
393,469,1.0
393,479,1.0
393,484,1.0
393,485,1.0
393,498,1.0
393,506,1.0
393,510,1.0
393,527,1.0
393,529,1.0
393,536,1.0
394,158,1.0
394,394,1.0
395,395,1.0
396,144,1.0
396,190,1.0
396,334,1.0
396,396,1.0
397,397,1.0
398,126,1.0
398,306,1.0
398,392,1.0
398,398,1.0
399,208,1.0
399,234,1.0
399,399,1.0
400,54,1.0
400,316,1.0
400,400,1.0
401,401,1.0
402,316,1.0
402,345,1.0
402,402,1.0
403,403,1.0
404,337,1.0
404,369,1.0
404,404,1.0
404,420,1.0
404,432,1.0
404,438,1.0
404,461,1.0
404,481,1.0
404,483,1.0
404,523,1.0
404,535,1.0
405,110,1.0
405,393,1.0
405,405,1.0
406,144,1.0
406,334,1.0
406,406,1.0
406,423,1.0
406,425,1.0
406,447,1.0
406,451,1.0
406,454,1.0
406,488,1.0
407,407,1.0
408,54,1.0
408,254,1.0
408,408,1.0
409,409,1.0
409,424,1.0
410,410,1.0
411,411,1.0
412,306,1.0
412,392,1.0
412,412,1.0
413,158,1.0
413,413,1.0
414,345,1.0
414,414,1.0
415,185,1.0
415,316,1.0
415,415,1.0
416,208,1.0
416,234,1.0
416,416,1.0
417,345,1.0
417,417,1.0
418,284,1.0
418,418,1.0
419,419,1.0
420,32,1.0
420,337,1.0
420,369,1.0
420,404,1.0
420,420,1.0
421,316,1.0
421,421,1.0
421,445,1.0
421,472,1.0
421,480,1.0
421,482,1.0
421,523,1.0
421,530,1.0
422,113,1.0
422,422,1.0
423,144,1.0
423,190,1.0
423,334,1.0
423,406,1.0
423,423,1.0
424,315,1.0
424,345,1.0
424,409,1.0
424,424,1.0
425,137,1.0
425,144,1.0
425,273,1.0
425,283,1.0
425,334,1.0
425,406,1.0
425,425,1.0
426,305,1.0
426,314,1.0
426,426,1.0
427,427,1.0
428,53,1.0
428,111,1.0
428,185,1.0
428,306,1.0
428,316,1.0
428,392,1.0
428,428,1.0
429,102,1.0
429,110,1.0
429,284,1.0
429,393,1.0
429,429,1.0
430,126,1.0
430,306,1.0
430,392,1.0
430,430,1.0
431,431,1.0
432,337,1.0
432,369,1.0
432,404,1.0
432,432,1.0
433,433,1.0
433,446,1.0
433,484,1.0
433,485,1.0
434,434,1.0
435,435,1.0
436,171,1.0
436,208,1.0
436,234,1.0
436,339,1.0
436,436,1.0
437,437,1.0
438,32,1.0
438,61,1.0
438,337,1.0
438,369,1.0
438,404,1.0
438,438,1.0
439,439,1.0
440,440,1.0
441,53,1.0
441,185,1.0
441,316,1.0
441,441,1.0
442,5,1.0
442,39,1.0
442,292,1.0
442,313,1.0
442,316,1.0
442,380,1.0
442,442,1.0
443,316,1.0
443,443,1.0
444,306,1.0
444,392,1.0
444,444,1.0
445,53,1.0
445,111,1.0
445,185,1.0
445,316,1.0
445,384,1.0
445,421,1.0
445,445,1.0
446,102,1.0
446,110,1.0
446,393,1.0
446,433,1.0
446,446,1.0
447,144,1.0
447,334,1.0
447,345,1.0
447,406,1.0
447,447,1.0
448,32,1.0
448,448,1.0
449,32,1.0
449,449,1.0
450,171,1.0
450,208,1.0
450,234,1.0
450,240,1.0
450,305,1.0
450,314,1.0
450,339,1.0
450,450,1.0
451,77,1.0
451,144,1.0
451,334,1.0
451,406,1.0
451,451,1.0
452,345,1.0
452,452,1.0
453,273,1.0
453,283,1.0
453,453,1.0
453,460,1.0
453,461,1.0
453,470,1.0
453,481,1.0
453,489,1.0
453,493,1.0
453,547,1.0
454,32,1.0
454,144,1.0
454,158,1.0
454,316,1.0
454,334,1.0
454,406,1.0
454,454,1.0
455,53,1.0
455,56,1.0
455,185,1.0
455,316,1.0
455,455,1.0
456,456,1.0
457,457,1.0
457,458,1.0
457,480,1.0
457,509,1.0
457,512,1.0
457,515,1.0
457,522,1.0
457,533,1.0
458,158,1.0
458,314,1.0
458,457,1.0
458,458,1.0
459,111,1.0
459,208,1.0
459,210,1.0
459,234,1.0
459,316,1.0
459,345,1.0
459,459,1.0
460,54,1.0
460,273,1.0
460,283,1.0
460,372,1.0
460,453,1.0
460,460,1.0
461,61,1.0
461,254,1.0
461,273,1.0
461,283,1.0
461,337,1.0
461,369,1.0
461,372,1.0
461,404,1.0
461,453,1.0
461,461,1.0
462,462,1.0
463,463,1.0
463,496,1.0
463,547,1.0
464,464,1.0
465,465,1.0
465,479,1.0
465,482,1.0
465,501,1.0
465,509,1.0
465,522,1.0
465,527,1.0
465,546,1.0
466,345,1.0
466,466,1.0
467,305,1.0
467,467,1.0
468,54,1.0
468,89,1.0
468,316,1.0
468,468,1.0
469,110,1.0
469,393,1.0
469,469,1.0
470,137,1.0
470,184,1.0
470,190,1.0
470,254,1.0
470,273,1.0
470,283,1.0
470,453,1.0
470,470,1.0
471,471,1.0
472,53,1.0
472,185,1.0
472,316,1.0
472,421,1.0
472,472,1.0
473,473,1.0
473,512,1.0
473,533,1.0
474,5,1.0
474,39,1.0
474,316,1.0
474,380,1.0
474,474,1.0
475,475,1.0
476,476,1.0
477,477,1.0
478,478,1.0
479,110,1.0
479,314,1.0
479,393,1.0
479,465,1.0
479,479,1.0
480,53,1.0
480,185,1.0
480,316,1.0
480,384,1.0
480,421,1.0
480,457,1.0
480,480,1.0
481,61,1.0
481,137,1.0
481,184,1.0
481,273,1.0
481,283,1.0
481,316,1.0
481,337,1.0
481,369,1.0
481,404,1.0
481,453,1.0
481,481,1.0
482,185,1.0
482,316,1.0
482,345,1.0
482,421,1.0
482,465,1.0
482,482,1.0
483,208,1.0
483,234,1.0
483,240,1.0
483,337,1.0
483,369,1.0
483,404,1.0
483,483,1.0
484,102,1.0
484,110,1.0
484,393,1.0
484,433,1.0
484,484,1.0
485,102,1.0
485,110,1.0
485,293,1.0
485,393,1.0
485,433,1.0
485,485,1.0
486,208,1.0
486,234,1.0
486,240,1.0
486,486,1.0
487,20,1.0
487,345,1.0
487,487,1.0
488,144,1.0
488,334,1.0
488,406,1.0
488,488,1.0
489,32,1.0
489,137,1.0
489,273,1.0
489,283,1.0
489,453,1.0
489,489,1.0
490,490,1.0
491,111,1.0
491,491,1.0
492,492,1.0
493,273,1.0
493,283,1.0
493,453,1.0
493,493,1.0
494,89,1.0
494,316,1.0
494,494,1.0
495,495,1.0
496,314,1.0
496,345,1.0
496,463,1.0
496,496,1.0
497,497,1.0
498,56,1.0
498,110,1.0
498,185,1.0
498,208,1.0
498,234,1.0
498,316,1.0
498,393,1.0
498,498,1.0
499,499,1.0
500,500,1.0
501,465,1.0
501,501,1.0
502,345,1.0
502,502,1.0
503,13,1.0
503,503,1.0
504,504,1.0
505,505,1.0
505,540,1.0
506,102,1.0
506,110,1.0
506,393,1.0
506,506,1.0
507,507,1.0
508,345,1.0
508,508,1.0
509,111,1.0
509,185,1.0
509,316,1.0
509,392,1.0
509,457,1.0
509,465,1.0
509,509,1.0
510,110,1.0
510,135,1.0
510,299,1.0
510,393,1.0
510,510,1.0
511,314,1.0
511,511,1.0
512,126,1.0
512,306,1.0
512,392,1.0
512,457,1.0
512,473,1.0
512,512,1.0
513,284,1.0
513,513,1.0
514,141,1.0
514,179,1.0
514,345,1.0
514,514,1.0
515,185,1.0
515,316,1.0
515,392,1.0
515,457,1.0
515,515,1.0
516,190,1.0
516,516,1.0
517,517,1.0
518,518,1.0
519,519,1.0
520,520,1.0
521,521,1.0
522,345,1.0
522,457,1.0
522,465,1.0
522,522,1.0
523,316,1.0
523,337,1.0
523,369,1.0
523,404,1.0
523,421,1.0
523,523,1.0
524,315,1.0
524,345,1.0
524,524,1.0
525,306,1.0
525,316,1.0
525,392,1.0
525,525,1.0
526,526,1.0
527,110,1.0
527,393,1.0
527,465,1.0
527,527,1.0
528,127,1.0
528,141,1.0
528,179,1.0
528,345,1.0
528,528,1.0
529,110,1.0
529,393,1.0
529,529,1.0
530,37,1.0
530,53,1.0
530,185,1.0
530,316,1.0
530,384,1.0
530,421,1.0
530,530,1.0
531,345,1.0
531,531,1.0
532,532,1.0
533,126,1.0
533,306,1.0
533,392,1.0
533,457,1.0
533,473,1.0
533,533,1.0
534,5,1.0
534,39,1.0
534,208,1.0
534,234,1.0
534,380,1.0
534,534,1.0
535,337,1.0
535,345,1.0
535,369,1.0
535,404,1.0
535,535,1.0
536,102,1.0
536,110,1.0
